Sample,X,Y,Z,Label
1,0.06,0.11,0.73,V
2,0.48,0.33,0.73,V
3,0.21,0.64,0.53,V
4,0.28,0.25,1.03,V
5,0.19,-1.01,0.12,V
6,0.2,-0.22,0.76,V
7,0.05,-0.25,0.7,V
8,-0.05,-0.15,0.78,V
9,-0.23,-0.28,0.99,V
10,0.03,-0.1,0.77,V
11,0.07,-0.26,0.71,V
12,-0.08,-0.04,0.97,V
13,-0.15,-0.13,1.12,V
14,0.01,0.05,0.78,V
15,-0.01,-0.12,0.66,V
16,-0.13,-0.15,1.19,V
17,-0.26,-0.24,1.35,V
18,0.1,-0.22,0.68,V
19,0.06,-0.38,0.52,V
20,-0.33,-0.16,1.39,V
21,-0.05,0.02,0.91,V
22,0.01,-0.04,0.65,V
23,-0.08,-0.13,1.2,V
24,-0.24,-0.2,1.35,V
25,0.07,-0.14,0.7,V
26,0.02,-0.05,0.63,V
27,-0.13,-0.19,1.08,V
28,-0.03,0.06,0.81,V
29,-0.05,-0.11,0.58,V
30,-0.16,-0.11,1.24,V
31,-0.08,-0.22,0.92,V
32,0.09,-0.14,0.65,V
33,-0.16,0.13,1.29,V
34,-0.17,-0.39,1.3,V
35,-0.03,0.01,0.64,V
36,-0.12,-0.0,0.77,V
37,-0.23,-0.14,1.29,V
38,0.09,-0.29,0.61,V
39,-0.01,-0.25,0.65,V
40,-0.25,-0.08,1.44,V
41,-0.16,-0.19,1.1,V
42,0.01,-0.08,0.66,V
43,-0.19,-0.11,1.09,V
44,-0.2,-0.3,1.42,V
45,0.02,-0.11,0.55,V
46,-0.06,-0.15,0.98,V
47,-0.18,-0.29,1.29,V
48,-0.01,0.04,0.67,V
49,-0.13,-0.1,0.66,V
50,-0.34,-0.28,1.53,V
51,0.11,-0.16,0.63,V
52,-0.01,-0.37,0.38,V
53,-0.28,-0.3,1.49,V
54,0.01,0.0,0.68,V
55,0.06,0.05,0.32,V
56,-0.34,-0.14,1.71,V
57,0.0,-0.16,0.65,V
58,0.04,-0.17,0.84,V
59,-0.17,-0.07,1.21,V
60,-0.19,-0.2,1.13,V
61,-0.01,-0.03,0.79,V
62,0.04,0.04,0.75,V
63,-0.12,-0.05,0.99,V
64,-0.17,-0.18,1.08,V
65,-0.14,-0.16,1.01,V
66,-0.11,-0.12,1.06,V
67,0.03,-0.14,0.91,V
68,0.06,-0.1,0.8,V
69,-0.04,-0.18,1.0,V
70,-0.13,-0.09,1.08,V
71,-0.16,-0.14,1.07,V
72,-0.11,-0.07,0.96,V
73,-0.2,-0.05,0.88,V
74,-0.04,-0.01,0.94,V
75,-0.0,-0.05,0.86,V
76,-0.0,-0.01,0.9,V
77,-0.07,0.01,0.91,V
78,-0.18,-0.1,1.03,V
79,-0.16,-0.01,0.97,V
80,-0.12,-0.16,1.0,V
81,0.06,-0.16,0.83,V
82,0.04,-0.11,0.84,V
83,0.03,-0.1,0.88,V
84,-0.05,-0.09,1.0,V
85,-0.12,-0.19,0.96,V
86,-0.09,-0.11,0.95,V
87,-0.06,-0.11,0.96,V
88,0.02,-0.05,0.95,V
89,0.02,-0.05,0.92,V
90,0.0,-0.07,0.88,V
91,-0.13,0.05,1.1,V
92,-0.11,0.0,1.0,V
93,-0.08,-0.11,0.99,V
94,0.01,0.0,0.98,V
95,0.05,-0.05,0.89,V
96,0.08,-0.15,0.79,V
97,0.03,-0.1,0.88,V
98,-0.14,-0.07,1.08,V
99,-0.13,-0.03,1.04,V
100,-0.03,-0.08,0.95,V
101,-0.01,-0.03,0.81,V
102,-0.01,-0.06,0.86,V
103,-0.05,0.03,0.95,V
104,-0.21,-0.07,1.13,V
105,-0.13,-0.06,1.01,V
106,0.0,-0.05,0.93,V
107,0.06,-0.1,0.82,V
108,-0.05,-0.11,1.01,V
109,0.01,-0.04,0.77,V
110,-0.17,-0.15,1.54,V
111,-0.16,-0.02,1.07,V
112,-0.19,-0.01,0.85,V
113,-0.03,0.01,0.99,V
114,0.03,-0.01,0.78,V
115,-0.01,0.04,0.9,V
116,-0.15,-0.05,1.08,V
117,-0.13,-0.08,1.04,V
118,0.0,-0.04,0.95,V
119,0.08,0.01,0.83,V
120,0.07,-0.09,0.8,V
121,-0.1,0.09,1.06,V
122,-0.21,-0.08,1.13,V
123,-0.11,-0.02,0.99,V
124,0.02,0.01,0.85,V
125,0.04,0.0,0.8,V
126,-0.01,0.01,0.85,V
127,-0.21,0.07,1.19,V
128,-0.15,-0.06,0.98,V
129,-0.08,-0.06,1.0,V
130,0.03,-0.04,0.79,V
131,0.02,-0.11,0.9,V
132,-0.01,-0.01,0.97,V
133,-0.21,-0.01,1.14,V
134,-0.11,-0.02,1.03,V
135,-0.01,-0.02,0.85,V
136,-0.01,-0.03,0.9,V
137,-0.0,-0.02,0.86,V
138,-0.17,-0.03,1.09,V
139,-0.16,-0.06,1.1,V
140,-0.01,-0.12,0.93,V
141,0.04,-0.07,0.8,V
142,0.01,-0.12,0.82,V
143,-0.15,-0.05,1.11,V
144,-0.19,-0.18,1.12,V
145,-0.09,-0.01,1.0,V
146,-0.01,-0.03,0.85,V
147,-0.01,-0.06,0.87,V
148,0.0,-0.04,0.91,V
149,-0.2,-0.13,1.09,V
150,-0.11,-0.07,1.01,V
151,-0.0,-0.08,0.97,V
152,0.05,-0.11,0.8,V
153,0.04,-0.07,0.81,V
154,-0.11,-0.05,0.96,V
155,-0.18,-0.06,1.09,V
156,-0.06,0.01,1.01,V
157,0.02,-0.02,0.79,V
158,-0.03,0.03,0.89,V
159,-0.12,-0.01,1.07,V
160,-0.16,-0.08,1.0,V
161,-0.15,-0.05,1.09,V
162,0.0,-0.09,0.93,V
163,0.04,-0.1,0.85,V
164,0.02,-0.11,0.85,V
165,-0.14,-0.01,1.06,V
