X,Y,Z,Label
16,-145,993,O
14,-159,1000,O
21,-153,998,O
32,-147,999,O
44,-137,994,O
59,-130,1008,O
59,-117,1002,O
65,-120,986,O
61,-118,961,O
79,-126,929,O
58,-118,925,O
67,-124,940,O
66,-110,914,O
69,-90,902,O
68,-100,916,O
75,-78,926,O
81,-70,932,O
74,-76,932,O
79,-73,918,O
75,-84,919,O
86,-93,913,O
91,-83,926,O
96,-81,946,O
108,-64,938,O
99,-65,930,O
106,-56,926,O
101,-54,926,O
105,-54,927,O
102,-60,947,O
109,-53,952,O
103,-49,938,O
104,-47,942,O
98,-28,923,O
98,5,928,O
117,27,967,O
117,26,968,O
126,11,952,O
127,1,946,O
133,10,921,O
138,39,931,O
151,76,958,O
165,84,965,O
176,97,937,O
187,91,955,O
187,69,953,O
159,72,951,O
159,81,949,O
156,84,922,O
151,91,940,O
164,109,942,O
164,94,939,O
153,99,931,O
159,92,945,O
179,79,944,O
189,70,925,O
195,56,907,O
192,61,896,O
193,56,891,O
193,62,837,O
167,64,804,O
177,64,781,O
157,83,795,O
158,108,802,O
178,133,814,O
200,128,826,O
201,145,787,O
227,153,788,O
238,165,784,O
251,193,833,O
270,228,832,O
289,251,834,O
298,288,818,O
298,331,825,O
337,331,834,O
358,339,855,O
406,356,876,O
426,378,906,O
440,419,954,O
466,453,942,O
478,485,937,O
483,495,863,O
486,498,826,O
494,497,810,O
516,480,861,O
523,424,933,O
533,385,1011,O
533,350,1072,O
527,317,1098,O
502,305,1056,O
510,303,1023,O
507,313,949,O
524,335,919,O
545,341,954,O
573,324,995,O
592,296,1058,O
601,268,1137,O
602,224,1122,O
580,229,1104,O
582,196,1078,O
575,193,1015,O
589,222,966,O
630,229,948,O
632,220,966,O
632,202,1021,O
647,168,1057,O
630,131,1085,O
599,123,1079,O
600,99,1049,O
605,116,1015,O
598,140,983,O
608,151,974,O
601,155,947,O
618,167,970,O
621,160,1031,O
635,146,1044,O
650,125,1088,O
638,115,1119,O
653,109,1130,O
669,110,1126,O
678,127,1096,O
680,152,1087,O
685,168,1068,O
691,180,1031,O
664,173,1018,O
658,145,995,O
641,146,1015,O
638,144,968,O
627,115,974,O
603,93,956,O
592,49,966,O
566,35,1020,O
548,17,1017,O
541,18,1009,O
523,7,1035,O
509,-12,1053,O
519,-25,1024,O
485,-48,1027,O
480,-65,1032,O
496,-75,994,O
471,-73,1025,O
480,-76,1045,O
472,-72,1047,O
471,-65,1039,O
469,-57,1006,O
460,-69,985,O
459,-67,981,O
474,-62,1007,O
482,-88,1051,O
466,-100,1051,O
473,-95,1064,O
475,-100,1069,O
453,-70,1074,O
450,-31,1082,O
451,-14,1074,O
435,-23,1028,O
401,-84,1041,O
372,-96,1018,O
360,-108,1018,O
333,-111,1027,O
329,-103,1009,O
307,-77,942,O
287,-61,910,O
279,-57,911,O
271,-47,913,O
263,-37,874,O
263,-40,866,O
237,-45,844,O
227,-67,854,O
218,-69,825,O
216,-65,798,O
199,-39,784,O
194,-26,759,O
185,-8,717,O
175,-34,743,O
156,-54,762,O
164,-67,741,O
153,-83,774,O
148,-92,817,O
141,-70,793,O
139,-56,779,O
150,-43,787,O
140,-28,785,O
128,-6,789,O
132,4,808,O
137,-13,861,O
129,-27,884,O
128,-62,929,O
120,-94,953,O
127,-86,949,O
134,-62,934,O
145,-14,924,O
167,17,920,O
152,22,916,O
134,26,905,O
106,14,887,O
104,17,895,O
115,6,915,O
106,36,913,O
108,76,909,O
96,123,932,O
102,157,913,O
86,190,861,O
70,213,852,O
71,248,838,O
74,252,870,O
63,258,880,O
69,277,881,O
60,300,912,O
61,333,918,O
77,359,906,O
98,378,927,O
108,374,931,O
107,361,939,O
100,353,960,O
93,355,966,O
79,362,998,O
66,339,1026,O
54,348,1007,O
52,348,974,O
60,350,963,O
57,341,975,O
62,331,977,O
57,298,1000,O
53,291,1007,O
57,265,1023,O
68,246,1039,O
75,217,1047,O
81,199,1056,O
67,202,1039,O
70,186,1032,O
78,183,1017,O
74,162,1023,O
57,147,1020,O
53,123,1004,O
40,108,990,O
44,113,986,O
42,104,994,O
43,106,1008,O
50,94,994,O
40,85,986,O
39,84,981,O
41,84,979,O
44,89,978,O
56,57,991,O
59,37,1013,O
62,47,1009,O
58,55,1003,O
64,59,1009,O
65,59,1017,O
33,-150,1051,O
34,-165,1021,O
18,-169,1001,O
23,-169,994,O
35,-190,968,O
18,-173,953,O
17,-175,931,O
33,-194,934,O
42,-194,917,O
55,-197,914,O
46,-175,898,O
64,-169,864,O
58,-149,808,O
58,-106,796,O
49,-79,776,O
62,-38,801,O
70,0,834,O
85,26,835,O
96,27,812,O
95,26,828,O
122,28,793,O
128,39,798,O
136,63,795,O
139,83,778,O
150,102,802,O
155,106,810,O
160,117,816,O
173,131,801,O
186,137,801,O
201,127,789,O
209,139,806,O
211,145,795,O
215,161,792,O
200,189,787,O
210,227,807,O
220,260,787,O
230,269,790,O
241,295,781,O
247,317,759,O
247,343,751,O
242,384,727,O
254,422,749,O
275,439,739,O
307,449,738,O
341,468,759,O
383,465,818,O
401,427,883,O
396,391,943,O
391,381,971,O
390,381,989,O
405,394,990,O
398,441,959,O
423,483,922,O
452,493,918,O
476,499,925,O
502,479,937,O
492,465,932,O
485,454,973,O
478,470,1006,O
488,475,1005,O
492,484,1008,O
518,476,1021,O
534,461,1043,O
539,444,1084,O
550,413,1108,O
585,371,1074,O
547,368,1060,O
534,360,1063,O
535,353,1045,O
542,346,1092,O
546,327,1108,O
555,309,1113,O
547,307,1073,O
553,306,1063,O
569,277,1070,O
548,252,1079,O
551,205,1046,O
541,203,976,O
499,206,933,O
501,210,912,O
500,187,892,O
479,190,855,O
484,197,845,O
510,187,859,O
508,168,932,O
514,141,971,O
512,131,975,O
525,110,945,O
510,98,958,O
502,82,980,O
519,81,1012,O
529,81,1005,O
534,76,1026,O
522,82,1027,O
514,88,1014,O
524,101,1028,O
518,102,1032,O
522,95,1020,O
524,83,1047,O
500,56,1063,O
504,51,1022,O
504,81,985,O
501,98,971,O
520,98,977,O
524,84,1010,O
527,83,1028,O
537,66,1041,O
552,40,1038,O
537,44,1074,O
547,25,1094,O
557,22,1078,O
544,35,1066,O
545,52,1066,O
539,53,1084,O
516,50,1090,O
531,23,1080,O
521,-10,1073,O
506,-5,1083,O
491,-4,1102,O
483,-27,1088,O
467,-27,1088,O
451,-16,1092,O
458,-26,1095,O
442,-40,1146,O
435,-25,1116,O
444,-19,1061,O
428,-24,1025,O
427,-24,1003,O
400,-41,1001,O
387,-39,1020,O
389,-44,1035,O
387,-48,1018,O
365,-49,1016,O
350,-43,1034,O
345,-53,1034,O
322,-60,1048,O
309,-68,1050,O
289,-85,1033,O
278,-135,1054,O
269,-150,1050,O
262,-143,1036,O
265,-116,1036,O
260,-110,1042,O
248,-81,1021,O
240,-72,989,O
230,-97,984,O
212,-123,968,O
204,-170,952,O
219,-170,931,O
223,-132,913,O
248,-80,885,O
244,-12,844,O
245,33,822,O
240,61,787,O
220,16,809,O
192,-46,827,O
163,-98,852,O
151,-153,874,O
127,-149,874,O
142,-98,839,O
144,-53,838,O
137,-14,800,O
137,18,778,O
122,20,785,O
114,-10,778,O
102,-77,811,O
87,-124,827,O
105,-145,843,O
93,-134,826,O
124,-70,791,O
131,-8,761,O
131,56,767,O
132,130,768,O
103,171,772,O
85,204,799,O
73,202,864,O
50,211,869,O
30,247,855,O
29,294,851,O
44,346,834,O
37,379,845,O
46,414,875,O
38,436,860,O
41,460,827,O
36,451,836,O
32,430,859,O
43,422,897,O
55,416,930,O
65,395,952,O
70,368,960,O
77,336,962,O
68,307,981,O
52,280,1004,O
50,257,1046,O
64,239,1071,O
56,217,1051,O
37,198,1049,O
37,180,1037,O
40,155,1025,O
34,153,1047,O
42,132,1039,O
46,123,1046,O
33,121,1040,O
44,118,1030,O
30,105,1047,O
46,83,1046,O
34,59,1041,O
27,44,1029,O
43,54,1010,O
34,59,989,O
34,80,1007,O
45,85,1011,O
32,73,1011,O
37,58,987,O
37,52,984,O
34,50,1003,O
35,51,994,O
35,58,992,O
33,49,1009,O
40,54,1036,O
41,53,1019,O
57,43,1011,O
56,50,1022,O
53,48,992,O
53,38,1004,O
55,35,995,O
60,32,1025,O
77,16,1033,O
83,0,1058,O
78,-18,1075,O
92,-37,1082,O
97,-67,1068,O
88,-79,1082,O
81,-104,1040,O
73,-170,971,O
66,-197,943,O
54,-209,922,O
55,-232,908,O
34,-238,910,O
38,-237,933,O
41,-234,934,O
32,-218,920,O
33,-214,924,O
26,-179,880,O
28,-150,863,O
33,-109,837,O
47,-70,809,O
37,-31,800,O
52,-10,783,O
44,10,801,O
56,56,794,O
67,60,808,O
71,84,840,O
87,119,834,O
90,134,824,O
99,133,798,O
109,126,758,O
128,143,740,O
133,176,705,O
123,223,731,O
162,246,743,O
162,256,752,O
166,269,752,O
182,292,757,O
190,288,778,O
218,279,777,O
242,263,753,O
261,238,767,O
253,224,802,O
246,267,845,O
268,295,870,O
289,329,863,O
320,345,873,O
342,384,871,O
379,364,909,O
403,370,940,O
408,350,922,O
424,336,915,O
421,317,902,O
394,310,930,O
373,328,920,O
365,368,954,O
374,401,980,O
387,417,1046,O
417,434,1039,O
459,448,1009,O
477,436,979,O
495,415,1015,O
487,386,1052,O
462,382,1102,O
492,383,1091,O
457,393,1058,O
439,437,995,O
461,477,936,O
486,513,888,O
519,546,888,O
529,528,921,O
530,505,923,O
527,449,934,O
546,390,933,O
548,349,990,O
570,283,1054,O
585,249,1090,O
604,207,1134,O
601,164,1174,O
605,133,1195,O
580,165,1182,O
573,166,1174,O
592,188,1106,O
618,181,1059,O
621,184,1019,O
627,162,1049,O
622,132,1068,O
632,93,1094,O
635,51,1140,O
611,37,1187,O
623,22,1223,O
625,31,1208,O
618,49,1208,O
617,48,1191,O
638,63,1167,O
637,69,1122,O
620,91,1083,O
606,82,1069,O
573,65,1112,O
576,44,1097,O
556,44,1101,O
553,55,1107,O
558,77,1098,O
561,92,1083,O
547,92,1057,O
542,82,1049,O
545,51,1030,O
521,36,1023,O
497,21,1014,O
485,16,1018,O
462,-5,1022,O
428,-30,1015,O
413,-37,1010,O
404,-52,992,O
405,-81,1004,O
377,-83,993,O
354,-99,998,O
336,-107,996,O
337,-100,997,O
347,-112,1011,O
338,-118,1023,O
340,-142,1020,O
339,-141,1037,O
326,-162,1039,O
346,-146,1079,O
335,-120,1066,O
327,-109,1081,O
323,-122,1068,O
300,-116,1038,O
268,-158,985,O
246,-195,983,O
240,-239,979,O
233,-245,964,O
251,-238,956,O
256,-228,963,O
259,-197,934,O
277,-159,943,O
270,-127,965,O
292,-122,969,O
291,-173,1027,O
272,-201,971,O
251,-230,977,O
256,-229,927,O
224,-206,926,O
203,-174,914,O
216,-134,857,O
201,-109,845,O
195,-125,849,O
183,-132,849,O
158,-162,861,O
172,-214,885,O
160,-272,913,O
182,-259,869,O
199,-181,836,O
223,-83,811,O
234,-16,772,O
225,40,753,O
211,65,753,O
191,48,780,O
171,35,822,O
148,2,825,O
105,-9,849,O
80,-3,823,O
47,34,767,O
35,107,736,O
29,184,728,O
30,239,725,O
31,292,735,O
11,300,763,O
4,304,781,O
-16,337,790,O
-17,348,819,O
-12,382,811,O
-11,422,840,O
0,489,804,O
5,542,796,O
22,589,806,O
39,602,788,O
62,591,818,O
69,555,895,O
78,525,884,O
87,478,917,O
102,422,990,O
104,383,1035,O
118,340,1029,O
112,334,1039,O
115,330,1026,O
109,332,1030,O
88,339,1024,O
85,316,1000,O
69,288,994,O
55,280,998,O
56,247,989,O
56,194,1004,O
55,161,1035,O
52,126,1045,O
43,120,1059,O
45,120,1076,O
59,115,1047,O
53,118,1069,O
58,114,1069,O
55,133,1059,O
85,-165,915,O
67,-120,909,O
55,-88,873,O
44,-70,840,O
37,-63,844,O
38,-54,864,O
41,-47,857,O
33,-42,824,O
26,-20,842,O
40,8,832,O
44,47,805,O
74,90,784,O
90,129,759,O
84,178,708,O
93,193,677,O
91,185,664,O
115,218,685,O
135,253,715,O
147,274,732,O
180,294,746,O
201,326,765,O
229,322,746,O
240,323,725,O
244,312,723,O
245,335,735,O
269,355,758,O
262,361,843,O
286,393,880,O
304,393,886,O
293,393,951,O
320,385,958,O
315,385,983,O
309,386,1014,O
324,379,1015,O
321,378,1022,O
308,401,1020,O
309,415,1005,O
311,415,991,O
303,428,985,O
307,432,971,O
301,425,989,O
305,423,1014,O
336,407,1038,O
362,378,1041,O
355,369,1020,O
361,361,1025,O
371,372,1020,O
375,414,1028,O
421,402,1032,O
458,364,1077,O
469,319,1112,O
460,295,1101,O
453,277,1097,O
415,233,1079,O
408,241,1021,O
