X,Y,Z,Label
14,-155,983,V
23,-144,1001,V
20,-150,1041,V
23,-141,1036,V
13,-139,1036,V
20,-150,1022,V
8,-163,991,V
-1,-151,982,V
-5,-135,954,V
-6,-118,973,V
-12,-93,983,V
-8,-89,975,V
-16,-102,952,V
-27,-93,924,V
-23,-94,918,V
-33,-92,898,V
-23,-89,886,V
-36,-63,880,V
-29,-74,872,V
-42,-52,859,V
-37,-48,844,V
-25,-43,844,V
-27,-70,841,V
-41,-74,823,V
-50,-61,801,V
-60,-67,766,V
-73,-53,742,V
-63,-27,720,V
-45,-9,695,V
-36,-1,695,V
11,19,699,V
24,0,733,V
42,6,769,V
79,-20,754,V
96,-26,794,V
90,-19,821,V
85,-55,863,V
68,-70,876,V
103,-97,894,V
100,-61,874,V
159,-79,901,V
163,-107,877,V
129,-93,928,V
132,-84,1008,V
119,-80,994,V
110,-67,1016,V
127,-67,956,V
130,-64,945,V
118,-44,933,V
125,-37,944,V
126,-36,917,V
113,7,869,V
131,23,851,V
143,20,888,V
170,-8,962,V
160,-41,1005,V
165,-66,1021,V
183,-108,1020,V
168,-130,1043,V
193,-173,940,V
138,-130,847,V
148,-97,862,V
176,-76,871,V
197,-54,921,V
248,-103,998,V
241,-122,1041,V
219,-112,1038,V
235,-130,984,V
230,-90,945,V
263,-31,846,V
305,-6,826,V
370,0,861,V
417,-14,960,V
412,-49,1057,V
424,-54,1184,V
481,-106,1309,V
504,-108,1356,V
492,-101,1337,V
507,-72,1302,V
501,-24,1240,V
510,-7,1255,V
518,20,1254,V
504,28,1299,V
502,25,1328,V
499,14,1312,V
479,12,1311,V
464,35,1254,V
449,61,1181,V
451,85,1169,V
448,120,1121,V
453,127,1102,V
441,96,1111,V
404,72,1085,V
398,58,1061,V
400,33,1082,V
391,42,1112,V
396,48,1090,V
404,78,1070,V
419,88,1052,V
408,102,1011,V
407,99,1002,V
401,94,987,V
398,107,955,V
382,111,984,V
383,115,991,V
365,113,965,V
373,109,981,V
366,103,969,V
363,133,963,V
367,135,977,V
361,127,1009,V
371,150,1026,V
370,146,1028,V
364,142,1093,V
376,139,1107,V
374,139,1116,V
386,141,1107,V
384,135,1108,V
377,144,1130,V
372,148,1155,V
381,158,1170,V
397,178,1142,V
394,157,1121,V
388,183,1141,V
383,153,1092,V
373,155,1084,V
362,149,1088,V
349,145,1043,V
343,135,1024,V
331,125,1058,V
350,101,1087,V
344,64,1064,V
333,48,1077,V
340,39,1071,V
340,44,1087,V
330,6,1088,V
340,-17,1071,V
346,-12,1023,V
334,-14,1011,V
341,-20,1031,V
