X,Y,Z,Label
-299,134,344,Z
-240,115,458,Z
-151,45,484,Z
-94,16,514,Z
-40,33,554,Z
17,-8,651,Z
38,18,809,Z
114,-40,897,Z
151,-26,973,Z
158,-103,1039,Z
186,-85,1042,Z
224,-19,1030,Z
245,-7,951,Z
283,23,929,Z
332,10,976,Z
310,38,975,Z
304,72,1081,Z
256,161,1177,Z
246,151,1155,Z
235,38,1219,Z
213,5,1242,Z
213,-3,1137,Z
179,-106,1046,Z
245,-13,993,Z
256,15,913,Z
270,39,984,Z
194,109,948,Z
236,232,932,Z
229,236,1028,Z
304,465,974,Z
223,26,991,Z
278,-62,967,Z
280,-16,1017,Z
136,-60,1015,Z
57,-161,1017,Z
140,-91,923,Z
130,12,871,Z
107,21,961,Z
156,104,1015,Z
184,73,1062,Z
234,0,1066,Z
249,-54,1039,Z
254,-117,1044,Z
266,-175,1011,Z
268,-204,977,Z
273,-218,1021,Z
256,-224,1049,Z
280,-194,1050,Z
264,-204,1085,Z
271,-177,1081,Z
348,-219,1058,Z
381,-301,1008,Z
349,-328,970,Z
381,-345,952,Z
373,-334,909,Z
378,-265,951,Z
355,-219,991,Z
328,-183,1062,Z
322,-158,1116,Z
330,-199,1121,Z
378,-240,1080,Z
524,-141,1048,Z
330,-299,1075,Z
255,-211,1005,Z
315,-200,1002,Z
397,-201,1011,Z
356,-150,1021,Z
285,-107,999,Z
324,-88,935,Z
300,18,877,Z
279,43,926,Z
237,212,921,Z
235,260,967,Z
220,252,989,Z
212,266,954,Z
195,254,930,Z
187,299,915,Z
166,327,903,Z
182,322,908,Z
112,345,949,Z
75,415,934,Z
73,443,900,Z
73,476,885,Z
72,453,872,Z
52,469,820,Z
28,490,821,Z
8,500,839,Z
-17,551,850,Z
-24,608,904,Z
-4,603,914,Z
-10,589,899,Z
-40,581,877,Z
-14,563,837,Z
7,517,869,Z
-6,541,854,Z
-3,606,807,Z
-3,620,825,Z
0,633,863,Z
-29,580,888,Z
12,580,912,Z
25,553,912,Z
42,515,903,Z
28,495,894,Z
25,494,884,Z
57,492,869,Z
54,498,879,Z
63,505,890,Z
94,516,877,Z
89,534,823,Z
85,567,787,Z
71,590,781,Z
46,609,769,Z
40,597,773,Z
47,578,723,Z
39,565,688,Z
71,558,691,Z
100,558,699,Z
122,527,724,Z
161,496,757,Z
159,498,738,Z
162,506,749,Z
142,495,767,Z
-54,375,842,Z
135,432,870,Z
163,388,884,Z
191,345,947,Z
194,266,992,Z
193,195,1010,Z
247,120,1101,Z
224,54,1014,Z
234,-23,1028,Z
247,-32,1102,Z
251,-13,1137,Z
243,-7,1178,Z
219,40,1198,Z
250,34,1216,Z
269,30,1253,Z
305,-13,1249,Z
313,-74,1237,Z
324,-122,1222,Z
335,-151,1208,Z
317,-163,1198,Z
305,-135,1175,Z
281,-106,1166,Z
304,-102,1154,Z
310,-90,1155,Z
327,-88,1153,Z
332,-121,1176,Z
342,-126,1169,Z
330,-126,1171,Z
317,-121,1188,Z
289,-129,1161,Z
299,-67,1120,Z
294,-22,1065,Z
320,13,1021,Z
348,16,994,Z
359,10,964,Z
348,-6,968,Z
343,-32,987,Z
371,-85,991,Z
369,-106,965,Z
358,-140,1002,Z
365,-152,1017,Z
356,-149,1034,Z
359,-147,1051,Z
362,-159,1048,Z
371,-220,1087,Z
382,-298,1075,Z
369,-337,1014,Z
358,-337,1038,Z
367,-362,1069,Z
368,-363,1137,Z
394,-373,1221,Z
420,-316,1219,Z
432,-260,1255,Z
434,-211,1294,Z
442,-173,1332,Z
442,-153,1341,Z
441,-131,1318,Z
470,-95,1265,Z
482,-37,1208,Z
498,27,1104,Z
527,110,1049,Z
532,218,993,Z
529,322,939,Z
500,388,840,Z
481,452,892,Z
446,469,1019,Z
415,552,1100,Z
395,645,1053,Z
396,698,954,Z
401,744,833,Z
387,817,746,Z
369,902,685,Z
317,973,690,Z
292,1011,699,Z
256,1003,734,Z
242,971,811,Z
211,905,876,Z
174,838,899,Z
179,800,903,Z
160,754,869,Z
153,719,813,Z
143,670,808,Z
121,642,780,Z
98,617,798,Z
58,576,859,Z
63,524,935,Z
37,472,1006,Z
49,417,1004,Z
56,361,978,Z
64,341,894,Z
63,344,841,Z
55,350,827,Z
69,337,841,Z
61,293,871,Z
48,278,931,Z
49,273,933,Z
58,258,971,Z
43,225,997,Z
61,240,981,Z
82,245,941,Z
94,249,928,Z
99,260,955,Z
117,231,985,Z
100,232,985,Z
94,275,987,Z
91,275,997,Z
